LOMAKE;K1A1;K1A2;K1A2L;K1A3;K1A3L;K1A4;K1A5;K1A6;K1A8L;K1B;K2A1;K2A2;K2A3;K2A4;K2A5;K2A6;K2A8;K2A9;K3A1;K3A2;K3A3;K3A4;K3A5;K3A6;K3A7;K3A8;K3A9;K3A10;K3A11;K3A12;K3A13;K3A14;K3A15;K4A1L;K4A2L;K4A3L;K4A4L;K3B;T1;T1L;T2;T20L;T21A;T21B;T21C;T21D;T3A;T3B;T3C;T3D;T4A;T4A1;T4A2;T4B1;T4B2;T4C;T4D;T4E;T4F;T4G;T5A;T5B;T5C;T5D;T5E;T5S;T5U;T6;T7;T8;T9A;T9B;T9C;T9D;T9E;T9F;T9G;T9H;T10;T11;T12;T13;T14;T15;JUNA_ASEMA;LAHTOLAITURI;LINJA;LIIKENNEMUOTO;ALUE;SUUNTA;VAUNUTYYPPI;VAUNUNRO;ALUS;TASTE;SAA;PAIVAMAARA;KAUSI;JOKERI;TUTKIJA;KIELI;KOHDE;LIIKENNOITSIJA;PAINO
441276;1;1;;3;;2;1;1;;4;5;5;5;5;5;4;;;;;;;;;;;5;5;5;5;;;;;;;;5;1;;2;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;1944;2;;;;;;1;;;91;;;1;1;2;;;68;2;91;1;;1246;;1;1;26.6.2014 15:00;2;;5838;1;H145;VEO;78.1359259918576
441277;4;4;;3;;4;3;4;;4;4;5;5;4;5;5;;;;;;;;;;;4;3;2;2;;;;;;;;4;2;;1;;;;;;;;1;;;;;;;;;;;;;1;;;;;;1;1983;1;;1;;;;;;;91;;;1;2;2;;;68;2;91;1;;1246;;1;1;26.6.2014 15:00;2;;5838;1;H145;VEO;78.1359259918576
441278;3;3;;2;;4;3;3;;3;4;4;4;4;5;4;;;;;;;;;;;3;3;4;4;;;;;;;;4;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1957;1;;1;;;;;;;91;;;3;3;2;;;68;2;91;1;;1246;;1;1;26.6.2014 15:00;2;;5838;1;H145;VEO;78.1359259918576
441279;3;2;;4;;5;5;5;;4;;5;4;5;5;3;;;;;;;;;;;4;3;5;5;;;;;;;;4;3;;1;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1;1951;2;1;;;;;;;;91;;;2;3;2;;;69;2;91;1;;1212;;1;1;26.6.2014 15:30;2;;5838;1;H143+;VEO;22.0830298460498
441280;4;;;4;;3;4;4;;4;5;5;3;5;5;2;;;;;;;;;;;5;4;;3;;;;;;;;4;2;;1;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1982;2;;1;;;;;;;91;;;2;3;2;;;74;2;91;2;;569;;1;1;24.6.2014 8:58;2;;5838;1;H94;VEO;31.126704848182
441283;1;2;;3;;1;2;4;;2;4;3;2;4;2;1;;;;;;;;;;;2;2;1;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;2;91;2;;1236;;1;1;24.6.2014 9:24;2;;5838;1;H145;VEO;78.1359259918576
441284;3;3;;3;;3;4;4;;3;3;2;2;2;3;2;;;;;;;;;;;3;3;3;3;;;;;;;;3;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;2;1993;1;;;1;;;;;;91;;;1;1;2;;;74;2;91;2;;569;;1;1;24.6.2014 8:58;2;;5838;1;H94;VEO;31.126704848182
441286;5;3;;5;;4;4;4;;5;5;5;5;5;5;4;;;;;;;;;;;4;4;2;2;;;;;;;;5;2;;1;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;1983;2;1;;;;;;;;91;;;2;1;2;;;74;2;91;2;;569;;1;1;24.6.2014 8:58;2;;5838;1;H94;VEO;31.126704848182
441288;5;;;4;;4;5;5;;5;5;5;5;4;5;5;;;;;;;;;;;4;4;4;4;;;;;;;;5;1;;2;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;1952;2;1;;;;;;;;91;;;1;1;2;;;74;2;91;2;;569;;1;1;24.6.2014 8:58;2;;5838;1;H94;VEO;31.126704848182
441289;4;3;;4;;5;4;5;;4;4;5;5;5;4;3;;;;;;;;;;;5;5;3;3;;;;;;;;4;2;;2;;;;;;;;;1;;;;;;;;;;;;1;;;;;;1;1945;2;;;;;;1;;;91;;;1;1;2;;;70T;2;91;1;;1006;;2;2;23.6.2014 17:30;2;;5838;1;H87;HELB;24.0995502237937
